Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Czech Republic,CZE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,36.1923884424411,12.35726262796,21.0088029158267,12.3419666012958,9.10736666746128,9.97328680581502,8.36478588011738,9.94232384553193,2.99813479426206,1.76630393800519,4.8887061603361,2.71545886480209,1.1560692872403,3.8723934512398,0.073659956850932,0.690924061096894,3.51814694111572,2.05414010402735,2.59871744393287,-1.42544961806605,0.0209526134028692,1.45997467326534,1.43189790810385,2.47997675517824,1.16589854070284,1.26551124065224,1.44196536067402
Czech Republic,CZE,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,..,..,..,..,..,..,..,..,..,..,100,101.6740331,104.6376384,105.2148281,107.4870579,106.8300699,104.6608399,104.6695831,102.7103248,105.9000186,103.9245348,103.4428986,102.4043962,102.8048069,103.8567036,104.6008917,105.7980174,104.1405409
Latvia,LVA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,..,..,15.66433,14.09594,14.60148,15.87752,16.37018,15.37676,14.50181,..,13.91163,14.06705,14.7631,13.02514,11.80903,12.71531,17.73655,18.74402,13.97237,14.12741,12.89329,..
Latvia,LVA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,9529.18348451666,9492.15350722282,9844.08826745035,10831.5038347892,11630.0937694402,12056.7074151012,12854.6190222309,13844.5614218374,15003.0381904872,16426.7355786572,17992.2326391757,20141.6804897106,22743.8118753791,25225.7092426211,24639.1510842382,21482.7665110286,20953.3435954749,22679.4901359437,23911.8740857683,24732.0185871891,25444.1779182729,26489.7584963771,27207.1457853837,28488.92360721
Latvia,LVA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,5885.32699756741,5489.763590759,5776.00330587642,6465.93832923622,7047.96123014325,7390.39273741002,8017.56504733646,9018.46788017748,10052.5958806474,11011.1090632303,12199.2074682899,13836.8556061041,15742.4317132123,18125.9763967795,19466.0746088845,16936.9330870386,17600.4172371866,19789.4778399823,21291.2312357879,22692.8103512997,23844.2963195406,24830.9229657427,26404.5256861466,28488.92360721
Latvia,LVA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,24020613035.1275,23588533026.0451,24189110260.7209,26351434935.9708,28028746956.1326,28821342055.066,30433953266.0829,32357093618.2756,34659613745.6323,37583631800.8667,40718617514.8366,45093174138.6835,50453894280.4303,55504758689.2703,53647365717.0357,46008975070.9082,43950790625.4063,46713149948.4144,48644379778.2861,49776823013.4505,50730143938.25,52384212650.065,53313408830.8534,55332554898.2565
Latvia,LVA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,14835390946.5021,13642369949.7972,14192922395.2723,15730664530.2207,16985720475.9086,17666600811.7094,18981986127.8214,21077692575.5144,23223235583.3829,25192922036.7631,27608294804.0511,30977938494.0902,34922333588.0264,39883039015.2438,42383912499.5656,36273304547.5848,36917843177.9469,40760565612.312,43313156236.3567,45672616675.1123,47540328804.5663,49103820599.6763,51740645049.4547,55332554898.2565
Latvia,LVA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,..,..,..,14.296902599053,12.4041516756555,5.88444886338617,4.80915552039318,1.49805296373395,3.59261670483177,2.28525016313297,5.09526441536605,4.94317949237322,6.77512095264564,11.1798415734485,12.444787546476,20.1254224683739,11.7252890427402,-9.72989880514285,-0.404400309513321,6.40387885921361,3.61925477030422,1.63771670832742,1.78329014938781,0.00222370976850073,0.85846588403848,2.98059379963252
Latvia,LVA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,..,..,..,..,..,..,..,..,..,..,100,101.1716611,104.5330474,103.8803488,106.4882036,103.512872,102.3876354,107.886907,103.5360047,103.4397342,106.0127974,104.7710081,101.8359208,103.1307125,103.5507854,104.8781089,106.565834,105.3172263
Lithuania,LTU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,47.27874,21.9346,20.65736,18.32268,16.71701,16.61294,..,..,16.67028,17.4651,15.93098,15.57213,14.57956,14.28965,13.32594,13.05296,12.77761,12.85882,12.33635,13.53597,13.28802,13.19014,12.28826,12.02524,..
