year,country,eci,eci_norm,population,gdp_pc,gdp,inflation,economic_freedom,gross_fix_cap,trade_openness,fdi,human_capital,private_sec_cred,rule_of_law,fdi_gdp
2014,Estonia,0.752262,0.48895506722377907,1314545,30663.8502068091,38300194537.7593,2.94872048750202,75.9,6217579460.23472,159.195188877576,1781648554.48117,3.5530872344970703,66.78298,1.372891,0.04651800274081331
2015,Estonia,0.86561,0.5504065847262499,1315407,31209.0979746975,38669190378.0171,1.11874587447134,76.8,6021244552.06643,149.841573191308,-715465129.889752,3.5738375186920166,67.55232,1.33191,-0.01850220092263644
2016,Estonia,0.843983,0.5386815258895177,1315790,32021.0631794111,41094057419.7484,1.70903496217103,77.2,6072932935.99538,150.998038129626,925591829.452864,3.594849109649658,67.75011,1.226358,0.022523739138205816
2017,Estonia,0.898422,0.5681955813763107,1317384,33820.9187318032,44555137202.5778,3.64009291322634,79.1,6833310089.44579,147.995115138848,1703867592.55708,3.6161255836486816,64.81514,1.281881,0.03824177635925898
1996,Hungary,0.916166,0.5778154752126715,10311238,16773.298510271,96261028727.6453,21.9302772697129,56.8,17437570256.4968,83.2922066662408,3288936448.51943,2.8976643085479736,20.12787,0.9105006,0.03416685331532175
1997,Hungary,0.92667,0.5835102094809952,10290486,17335.3926461896,101068327697.249,20.2607963183544,55.3,18955442401.8361,94.8487191212692,4164123319.5914,2.913647413253784,20.7251,1.068723,0.041201070745575864
1998,Hungary,0.876291,0.5561972793873281,10266570,18053.4311638144,106750826042.741,13.7672411196839,56.9,21115277207.8253,107.42990062644,3261654749.79361,2.929718494415283,22.11084,0.8718883,0.030553906425864148
1999,Hungary,0.780762,0.5044063169045888,10237530,18660.6404432328,111315201192.571,8.12026370073599,59.6,22803024000.3986,114.025774849784,3384965975.25316,2.945878028869629,23.55313,1.258094,0.030408838496346062
2000,Hungary,0.866768,0.5510343933974913,10210971,19547.1971641282,121077810763.972,9.58348411198008,64.4,24168961258.0325,137.40660123512,2747712559.81382,2.962127208709717,27.14008,0.9061415,0.022693774709638466
2001,Hungary,0.992979,0.6194595749225674,10187576,20390.285687826,134614287671.853,11.0465583500713,65.6,24821620395.2894,131.045068739569,4058819560.69834,2.9919886589050293,30.55948,1.035779,0.030151476718373732
